"BLIK via Dotpay","BLIK via Dotpay"
"Card payments","Kaartbetalingen"
"One Click card payments","Betaling met één klik"
"Credit card via Dotpay","Betaalkaarten door Dotpay"
"Masterpass via Dotpay","Masterpass via Dotpay"
"Credit card (One Click) via Dotpay","Betalingen met één klik door Dotpay"
"PayPal via Dotpay","PayPal via Dotpay"
"Dotpay payment channels","Dotpay betalingskanalen"
"Unrecognized payment method. Please, try again.","Betaalmethode niet herkend. Probeer het a.u.b. opnieuw."
"Do you want to deregister a saved card","Wilt u de opgeslagen kaart afmelden?"
"The card was deregistered from the shop","De laatste versie is"
"An error occurred while deregistering the card","Er is een fout opgetreden bij het verwijderen van de kaart"
"You have to be logged to see your saved credit cards.","U moet ingelogd zijn om uw opgeslagen betaalkaarten te zien."
"Requested card doesn't exist.","De gevraagde kaart bestaat niet."
"You have to be logged to delete your saved credit card.","U moet ingelogd zijn om uw opgeslagen betaalkaart te verwijderen."
"The payment has not been found. Please contact to the seller.","De betaling is niet gevonden. Neem dan contact op met de verkoper."
"Payment has started. Payment number from Dotpay:","De betaling is begonnen. Dotpay-betalingsnummer:"
"The payment is confirmed. Payment number from Dotpay:","De betaling is bevestigd. Dotpay-betalingsnummer:"
"The payment is rejected. Payment number from Dotpay:","De betaling is geweigerd. Dotpay-betalingsnummer:"
"Instruction of payment completion for the order doesn't exist","Er is geen instructie om de betaling voor deze bestelling te voltooien"
"Order is not found","De bestelling is niet gevonden"
"Payment is not found","De betaling is niet gevonden"
"Payment has been finished successfully.","De betaling is succesvol afgerond."
"Order ID: %1","Bestelnr.:% 1"
"--Please Select--","- Selecteer alstublieft—"
"Dotpay payment pending","Dotpay is in afwachting van betaling"
"Dotpay payment complete","Dotpay-betaling bevestigd"
"Dotpay payment canceled","Dotpay-betaling mislukt"
"Module update","Updaten van de module"
"Version of your Dotpay payment module is","De versie van uw Dotpay-betalingsmodule is"
"The newest version is","De betaling is meer dan eens bevestigd - controleer of er een dubbele betaling was voor deze bestelling"
"You can download the latest version from this link","U kunt op dit adres de laatste versie downloaden"
"DOWNLOAD","DOWNLOADEN"
"More details about the newest version","Meer informatie over de laatste versie"
"DETAILS","BIJZONDERHEDEN"
"Version information","Versie-informatie"
"Congratulations ! Your Dotpay payment module is up to date.","Gefeliciteerd! Uw Dotpay-betalingsmodule is up-to-date."
"Version of the module is","De moduleversie is"
"Error","Fout"
"Your seller id is wrong. Please fix it.","Uw handelaar-ID is onjuist. Corrigeer het alsjeblieft."
"Your seller id for foreign currencies is wrong. Please fix it.","Uw handelaar-ID in vreemde valuta is onjuist. Corrigeer het alsjeblieft."
"Your account data (username and password) is wrong. Please fix it.","Uw gebruikersnaam of wachtwoord is onjuist. Corrigeer het alsjeblieft."
"Your seller pin is wrong. Please fix it.","Uw handelaarspincode is onjuist. Corrigeer het alsjeblieft."
"Your seller pin for foreign currencies is wrong. Please fix it.","Uw Merchant PIN voor vreemde valuta is onjuist. Corrigeer het alsjeblieft."
"Registration","Registratie"
"In response to the market's needs Dotpay has been delivering innovative Internet payment services providing the widest e-commerce solution offer for years. The domain is money transfers between a buyer and a merchant within a complex service based on counselling and additional security. Within an offer of Internet payments Dotpay offers over 140 payment channels including: mobile payments, instalments, cash, e-wallets, transfers and credit card payments.","Als antwoord op de vraag van de markt levert Dotpay al jaren innovatieve internetbetalingsdiensten, met het breedste scala aan oplossingen voor klanten uit de e-commerce-industrie. Het domein is geldovermakingen die tussen de koper en de verkoper worden verzonden, samen met een uitgebreide service, gebaseerd op professioneel advies en het gebruik van extra beveiliging. Als onderdeel van het online betalingsaanbod biedt Dotpay meer dan 140 betalingskanalen, waaronder: mobiele betalingen, termijnen, contant geld, e-wallets, overschrijvingen en betaalkaarten."
"To all new clients who have filled in a form and wish to accept payments we offer promotional conditions:","We bieden promotionele samenwerkingsvoorwaarden aan alle nieuwe klanten die het formulier invullen en vandaag betalingen willen accepteren:"
"commission on Internet payments (not less than PLN 0.30)","commissie op internetbetalingen (niet minder dan PLN 0,30)"
"instalment payments","afbetalingen"
"without any commission!","geen commissie!"
"an activation fee - only PLN 10","activeringskosten vanaf 10 PLN"
"without any additional fees","geen extra kosten"
"for refunds and withdrawals!","voor retouren en opnames!"
"In short, minimizing effort and work time you will increase your sales possibilities. Do not hesitate and start your account now!","Samenvattend - door de uitgaven en werktijd te minimaliseren, vergroot u uw verkoopkansen. Wacht niet te lang en start nu uw account!"
"Register now!","Schrijf je in!"
"Select a card from the list","Selecteer uw opgeslagen kaart uit de onderstaande lijst"
"Register a new credit card","Registreer een nieuwe betaalkaart"
"You can use stored card from the below list or register a new one","U kunt eerder opgeslagen kaarten uit de onderstaande lijst gebruiken of een nieuwe kaart registreren"
"Below is a list of your credit cards registered in this shop. Data identifying these cards are stored in a secure manner in Dotpay. This allows you to make payments with one click. At any time, you can deregister their cards.",
"Cards saved in Dotpay","Kaarten geregistreerd in Dotpay"
"Credit cards saved by One Click functionality","Betaalkaarten geregistreerd in de One Click-service"
"Logo","Logo"
"Card brand","Kaartuitgever"
"Card number","Kaartnummer"
"Register date","Datum van registratie"
"Delete","Verwijderen"
"Deregister card","Meld u af van de kaart"
"You have not saved any card.","U heeft geen kaarten opgeslagen."
"Waiting for confirmation...","Wachten op bevestiging ..."
"Order was not found.","De bestelling is niet gevonden."
"You have came back to the shop site.","U bent teruggekeerd naar de winkelpagina."
"Status of the order","Straat"
"The payment has been confirmed twice - check for possible duplicated payment","De betaling is twee keer bevestigd - controleer of er een dubbele betaling was voor deze bestelling"
"in total:","totaal:"
"separate payments ! Payments made before:","afzonderlijke betalingen! Eerder geregistreerde betalingen:"
"payment channel no:","betalingskanaalnummer:"
"The payment has been confirmed more then once - check for possible duplicated payment","De betaling is meer dan eens bevestigd - alweer een mislukte betalingspoging."
"Another attempt to pay for an order already paid for - this time unsuccessful. The status of this order has not been changed.","Een nieuwe poging om te betalen voor een bestelling die al is betaald, maar dit keer niet gelukt. De betalingsstatus van deze bestelling is niet gewijzigd."
"Another payment attempt initiated. Payment number from Dotpay:","Er is weer een betalingspoging gestart. Dotpay-transactienummer:"
"The payment has been confirmed twice - another failed payment attempt.","De betaling is meer dan eens bevestigd - alweer een mislukte betalingspoging."
"Time intended for waiting for payment confirmation has elapsed. When transaction will be confirmed we will notify you on email. If payment will not be confirmed, please contact with shop owner and give him the order number:","Time-out voor wachten op betalingsbevestiging is verstreken. Wanneer het is bevestigd, sturen we een bevestigingsmail naar uw e-mailadres. Als de betaling niet is bevestigd, neem dan contact op met de verkoper met het bestelnummer:"
"Waiting for confirm your payment...","In afwachting van uw betalingsbevestiging ..."
"It make take up to 2 minutes.","Dit proces kan tot ongeveer 2 minuten duren."
"Thank you! The process of payment completed correctly. In a moment you will be able to check the status of your order.","De kaart is uitgeschreven uit de winkel"
"Payment was rejected.","De betaling is afgewezen."
"You can try to pay for your order again by changing the payment method or contact the seller.","U kunt proberen uw bestelling nogmaals te betalen door de betaalmethode te wijzigen of contact op te nemen met de verkoper."
"Warning!","Let op!"
"Payment for this order have already registered. If you bank account has been charged, please contact to seller and give him a name of the order:","Er is al een betaling geregistreerd voor deze bestelling. Als uw bankrekening opnieuw is afgeschreven, neem dan contact met ons op en geef uw bestelnummer op:"
"It's impossible to interprete the response from server.","Het is niet mogelijk om het antwoord van de server te interpreteren."
"You can make the payment at post office or bank.","De betaling kan worden gedaan in een Poczta Polska-filiaal of een bankfiliaal."
"To pay with cash download and print the form below.","Download en print het onderstaande betalingsbewijs."
"You can also use this data for online transfer or to fill your own form.","U kunt de volgende gegevens ook gebruiken voor een online overschrijving of u kunt uw eigen formulier invullen."
"In order to pay login to your bank system and make a money transfer, using the following data:","Om te betalen logt u in bij uw bank en voert u de overboeking uit met behulp van de volgende gegevens:"
"Name","Naam van de ontvanger"
"Street","Straat"
"Postcode, city","Postcode, stad Voorbereiding"
"Number of bank account","Bankrekeningnummer"
"Amount","Bedrag"
"Title of payment","Titel betaling"
"Logo of payment channel","Logo van betaalkanaal"
"Download form","Download het formulier"
"Make a money transfer","Voer de overdracht uit"
"Not following the above procedure (e.g. changing the amount or payment title) will make your payment not handled automatically, and therefore lengthen finalization time of the transaction.","Het niet naleven van de bovenstaande procedure (een ander bedrag opgeven dan het gespecificeerde bedrag, een andere betalingstitel, het niet selecteren van de bevestigingsknop) zal ertoe leiden dat uw betaling niet automatisch wordt verwerkt, waardoor de verwerkingstijd van de transactie wordt verlengd. "
"Preparing...","Bereiding..."
"Dotpay payments","Dotpay-betalingen"
"Payment solution offered by Dotpay","Betaaloplossing aangeboden door Dotpay"
"Advanced settings","Geavanceerde instellingen"
"Username","Gebruikersnaam"
"Username used in Dotpay seller panel","Gebruikersnaam, gebruikt in het Dotpay-handelaarspaneel"
"Password","Wachtwoord"
"Password used in Dotpay seller panel","Wachtwoord gebruikt in het Dotpay-paneel"
"Display complete payment instruction","Geef de instructie weer om de betaling te voltooien"
"Instructions of completing offline payments will be displayed on the shop page","Instructies voor het voltooien van de betaling worden weergegeven op de website van de winkel"
"Status of pending payment","Mogelijk dubbele betalingsstatus"
"Status of possibly duplicated payment","Status van de geretourneerde betaling"
"Choose the status set when Dotpay payment has been duplicated. Order state is still pending.","Selecteer de status wanneer de Dotpay-betalingsinformatie meer dan eens is verzonden. De bestelstatus is nog in behandeling."
"Choose the status set when order has been created but payment is still pending","Selecteer welke status moet worden ingesteld als de bestelling is aangemaakt"
"Status of complete payment","Mislukte terugkeerstatus"
"Choose the status set when payment is confirmed","Selecteer welke status moet worden ingesteld als de betaling is bevestigd"
"Status of canceled payment","Status van de bevestigde betaling"
"Choose the status set when Dotpay payment has been canceled. Order state is still pending.","Selecteer welke status moet worden ingesteld als de Dotpay-betaling is geweigerd. De bestelstatus is nog in behandeling."
"Show Dotpay shortcut","Toon Dotpay-snelkoppeling"
"Dotpay shortcut can be displayed in cart preview","De afkorting Dotpay kan worden weergegeven in het winkelmandje"
"Basic configuration","Basisconfiguratie"
"⏻ Activate plugin","⏻ Activeer de plug-in"
"Activate payments via Dotpay","Activeer Dotpay-betalingen"
"🆔 ID","🆔 ID"
"Copy from Dotpay seller panel","Kopieer uit het Dotpay-verkoperspaneel"
"🔑 PIN","🔑 PIN"
"🧪 Test Mode","🧪 Testmodus"
"Thank you! The process of payment completed correctly. In a moment you will be able to check the status of your order.","Bedankt! Het betalingsproces is geslaagd. U kunt zo meteen de bestelstatus bekijken."
"You require Dotpay test account if you want to use this option","U heeft een test-Dotpay-account nodig als u van deze optie gebruik wilt maken"
"<a target='_blank' href='https://www.dotpay.pl/developer/sandbox/en/?affiliate_id=magento2_module'>Register test account</a>","<a target='_blank' href='https://www.dotpay.pl/developer/sandbox/en/?affiliate_id=magento2_module'>Registreer een testaccount</a>"
"📋 Enable payment channels widget","📋 Ontgrendel de widget met betalingskanalen"
"Disable this feature if you are using modules modifying checkout page","Blokkeer deze functionaliteit als u modules gebruikt die de betalingsselectiepagina wijzigen"
"This allows to display Dotpay widget on the shop site","Met deze instelling kunt u de Dotpay-widget op de website van de winkel weergeven"
"Currencies disabling main channel","Valuta's die het hoofdkanaal blokkeren"
"You can select more than one currency","U kunt meer dan één valuta kiezen"
"You can select currencies. When one of them is used, main payment channel will be not displayed.","U kunt valuta's kiezen. Als een van deze wordt gebruikt, wordt het hoofdbetaalkanaal niet weergegeven."
"Display logo","Laat het logo zien"
"You can decide if payment channel logos will be displayed on the shop site","U kunt ervoor kiezen om de logo's van de betaalkanalen in de winkel weer te geven"
"Card's payments settings","Instellingen voor kaartbetalingen"
"Activate One Click payments","Activeer One Click-betalingen"
"This setting requires to contact to Dotpay service before using it","Deze instelling vereist contact met Dotpay voordat u deze gebruikt"
"<a target=""_blank"" href=""https://www.dotpay.pl/kontakt/biuro-obslugi-klienta/"">Contact to Dotpay service</a>","<a target=""_blank"" href=""https://www.dotpay.pl/kontakt/biuro-obslugi-klienta/"">Neem contact op met de Dotpay-service</a>"
"Activate credit cards payments via Dotpay","Activeer kaartbetalingen via Dotpay"
"Activate credit card payments as a separate channel","Activeer kaartbetalingen als een apart kanaal"
"Separate Dotpay account for payments with specific currencies","Een aparte rekening voor betalingen in specifieke valuta"
"Allow to use different Dotpay account for payment using credit cards with specific currencies","Hiermee kunt u een aparte Dotpay-account gebruiken voor betalingen met betaalkaarten voor specifieke valuta"
"Seller id for payments using credit cards with specific currencies","Merchant ID voor betalingen met betaalkaarten voor specifieke valuta"
"Seller pin for payments using credit cards with specific currencies","Pincode voor betaling met betaalkaarten voor specifieke valuta"
"Currencies for separated Dotpay account","Valuta's voor een aparte Dotpay-account"
"For every of selected currencies the payment channel will be enabled.","Het betalingskanaal wordt ontgrendeld voor elk van de geselecteerde valuta."
"Additional payment channels","Extra betalingskanalen"
"Activate Masterpass","Activeer Masterpass"
"You can select Masterpass method as visible in main view of checkout","U kunt Masterpass selecteren als de zichtbare betalingsmethode op de overzichtspagina van de bestelling"
"Visibility of Masterpass channel","Zichtbaarheid van het Masterpass-kanaal"
"Show or hide channel for specific conditions","Status van mislukte betaling"
"Activate BLIK","Activeer BLIK"
"You can select BLIK method as visible in main view of checkout","U kunt BLIK selecteren als de zichtbare betaalmethode op de overzichtspagina van de bestelling"
"Visibility of BLIK channel","Zichtbaarheid BLIK-kanaal"
"Activate PayPal","Activeer PayPal"
"You can select PayPal method as visible in main view of checkout","U kunt PayPal kiezen als de zichtbare betalingsmethode op de overzichtspagina van de bestelling"
"Visibility of PayPal channel","Zichtbaarheid van PayPal-kanaal"
"Activate other channels","Activeer de andere betalingskanalen"
"You can select multiple methods (payment channel numbers) as visible in main view of checkout","U kunt meerdere methoden (betalingskanalen) selecteren zoals zichtbaar in de hoofdweergave van de winkelwagen"
"Leave it blank or enter a Dotpay number channel (eg.: 2) or numbers channels  separated by commas (eg.: 4,36).","Laat dit veld leeg of voer het Dotpay-kanaalnummer in (bijvoorbeeld: 2) of meerdere kanaalnummers gescheiden door een komma (bijvoorbeeld: 4.36)"
"Always show","Altijd zichtbaar"
"Show only for logged in user","Alleen weergeven voor ingelogde gebruikers 150. Toon of verberg het kanaal onder bepaalde voorwaarden"
"Show only for guest user","Alleen weergeven voor gebruikers die niet zijn aangemeld"
"Information","Informatie"
"Manage your saved credit cards","Beheer opgeslagen betaalkaarten"
"Visibility of Credit Cards channel","Zichtbaarheid van betaalkaartenkanaal"
"or","of"
"Pay with Dotpay","Betaal via Dotpay"
"Plugin message","Een bericht van een plug-in"
"Your plugin is not yet activated. Please fill required data and start to use Dotpay payments.","Uw plug-in is nog niet geactiveerd. Vul de vereiste gegevens in en ga aan de slag met Dotpay-betalingen."
"Pay via Dotpay","Betaal met Dotpay"
"Pay using BLIK","Betaal met BLIK"
"Pay using PayPal","Betaal met PayPal"
"Pay using Masterpass","Betaal met Masterpass"
"Continue to Dotpay","Voortzetting in Dotpay"
"BLIK code","BLIK-code"
"One Click card payments via Dotpay","1-klik kaartbetaling via Dotpay"
"Acceptance Mark","Accepteer de vereiste toestemmingen"
"Pay using","Betaal met"
"Dotpay payment possible duplicate","Dotpay-betaling is waarschijnlijk verdubbeld"
"Payment link generated successfully","Betaallink correct gegenereerd"
"Payment link could not be created","Er is een fout opgetreden bij het genereren van de link"
"Payment link deleted successfully","Betaallink verwijderd"
"Payment link could not be deleted","Er is een fout opgetreden bij het verwijderen van de link"
"Generate payment link","Genereer een nieuwe betaallink"
"You can generate a payment link for this order and send it to the customer","U kunt voor deze bestelling een betaallink genereren en deze naar de klant sturen"
"Action","Actie"
"delete","Verwijderen"
"Generate payment link","Genereer een betaallink"
"WARNING! This data can be use only for a regular bank transfer. Use of this data in a VAT split payment transfer will not result as an effective payment.","Let op! Bovenstaande gegevens kunnen niet worden gebruikt om een gesplitste betaling te doen met een apart btw-bedrag (de zogenaamde ""gesplitste betaling"")."
"Send the generated payment link from the URL column to the Customer","Stuur de link die is gegenereerd in de URL-kolom naar de klant"
"Automatically invoice orders","Genereer automatisch facturen"
"You can decide if during confirmation of a successful order an invoice should be generated","Bepaal of er automatisch een factuur moet worden gegenereerd na bevestiging van ontvangst van de betaling"
"Dotpay payment refunded","Dotpay-betaling is geretourneerd"
"Dotpay payment refund failed","De terugbetaling van de betaling is mislukt"
"Status of new refund","Status van de lopende betaling"
"Status of refunded payment","Orderstatus"
"Status of failed refund","Status terugkeer geïnitieerd"
"Choose the status set when Dotpay payment refund has been initialized. Order state is still closed.","Selecteer welke status moet worden ingesteld wanneer de terugbetaling wordt gestart. De bestelstatus is nog gesloten."
"Choose the status set when Dotpay payment has been refunded. Order state is still closed.","Selecteer welke status moet worden ingesteld als de terugbetaling succesvol is. De bestelstatus is nog gesloten."
"Choose the status set when Dotpay payment failed to had been refunded. Order state is still closed.","Selecteer welke status moet worden ingesteld als de terugbetaling mislukt. De bestelstatus is nog gesloten."
"Shipping Mapping","Verzendmethoden in kaart brengen"
"Describe each delivery option by shipping methods defined by Dotpay (for PayPo payments only)","Wijs de verzendmethoden die aanwezig zijn in de winkel toe aan de methoden die worden aangeboden door de Dotpay API (alleen vereist voor het PayPo-kanaal)"
"COURIER","Koerier"
"POCZTA_POLSKA","Poolse posterijen"
"PICKUP_POINT","Ontvangst op punt"
"PACZKOMAT","Pakjesautomaat"
"PACZKA_W_RUCHU","Pakket voor ophalen in Ruch"
"PICKUP_SHOP","Persoonlijk ophalen"
"The refund is created. Refund number from Dotpay:","De retouropdracht is gemaakt. Dotpay retournummer:"
"The refund is confirmed. Refund number from Dotpay:","Return bevestigd. Dotpay retournummer:"
"The refund is rejected. Refund number from Dotpay:","Retouropdracht afgewezen. Dotpay retournummer:"
"To select different channel click the above icon.","Om een andere betalingsmethode te selecteren, klikt u op het pictogram hierboven."
"Selected: ","Geselecteerd: "
"Choose one of the available payment methods:","Kies een van de beschikbare betalingsmethoden:"
